text,label
entra baava em chestunnav,telangana
baava nuv ekkada pothunnav,telangana
rey baava em scene idi,telangana
baava em ayindi neeku,telangana
entra baava ila behave avutunnav,telangana

endira nuv em chestunnav,guntur
oy nuv ekkada pothunnav,guntur
em ayindi ra neeku,guntur
endira ila behave chestunnav,guntur
oy ippude vachava,guntur

andi meeru emi chestunnaru,krishna
meeru ekkada unnaru andi,krishna
andi emi jarugutundi ikkada,krishna
meeru ela maatladutunnaru andi,krishna
andi meeru eppudu vacharu,krishna

andi amma em chestunnaru,godavari
amma andi ekkadiki velthunnaru,godavari
inka em jarugutundi andi amma,godavari
amma andi meeru ela unnaru,godavari
andi amma emi plan chestunnaru,godavari

em chesthunav da nuv,chittoor
ekkadiki pothunav da,chittoor
dei nuv enti ila chestunnav,chittoor
ra da nuv ikkada ra,chittoor
em ayindi da neeku,chittoor

em chestunnav le,nellore
ekkadiki pothunnav le,nellore
inka em undi le ikkada,nellore
ra le ikkada ki ra,nellore
em ayindi le neeku,nellore

em chestunnav bey,srikakulam
ekkadiki pothunnav bey,srikakulam
inka em undi bey ikkada,srikakulam
ra bey ikkada ki ra,srikakulam
em ayindi bey neeku,srikakulam

bro nuv em chestunnav,vizag
bro ekkada unnav ra,vizag
inka em scene bro,vizag
bro ippude vachava,vizag
em jarugutundi bro,vizag

rey nuv em chestunnav,kurnool
ekkadiki pothunnav rey,kurnool
em ayindi rey neeku,kurnool
rey ippude vachava,kurnool
inka em jarugutundi rey,kurnool

macha nuv em chestunnav,anantapur
macha ekkada pothunnav,anantapur
em ayindi macha neeku,anantapur
macha ippude vachava,anantapur
inka em scene macha,anantapur